date,fips,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2021-07-26,56045,Weston,Wyoming,5,1.71,24.75,0,0,0
2021-07-26,56043,Washakie,Wyoming,1,1.29,16.47,0,0,0
2021-07-26,56041,Uinta,Wyoming,10,6.14,30.37,0,0,0
2021-07-26,56039,Teton,Wyoming,13,5.57,23.74,0,0,0
2021-07-26,56037,Sweetwater,Wyoming,15,9.14,21.59,0,0.29,0.67
2021-07-26,56035,Sublette,Wyoming,4,2.43,24.7,0,0,0
2021-07-26,56033,Sheridan,Wyoming,7,1.86,6.09,0,0,0
2021-07-26,56031,Platte,Wyoming,3,3,35.74,0,0,0
2021-07-26,56029,Park,Wyoming,6,2.29,7.83,0,0,0
2021-07-26,56027,Niobrara,Wyoming,1,0.14,6.06,0,0,0
2021-07-26,56025,Natrona,Wyoming,15,6.43,8.05,0,0,0
2021-07-26,56023,Lincoln,Wyoming,4,2.86,14.41,0,0,0
2021-07-26,56021,Laramie,Wyoming,49,28.57,28.72,0,0.29,0.29
2021-07-26,56019,Johnson,Wyoming,0,0.43,5.07,0,0,0
2021-07-26,56017,Hot Springs,Wyoming,0,0.29,6.47,0,0,0
2021-07-26,56015,Goshen,Wyoming,2,2.57,19.46,0,0,0
2021-07-26,56013,Fremont,Wyoming,9,8.14,20.74,0,0,0
2021-07-26,56011,Crook,Wyoming,0,0.29,3.77,0,0,0
2021-07-26,56009,Converse,Wyoming,17,5.86,42.38,0,0.14,1.03
2021-07-26,56007,Carbon,Wyoming,6,4.71,31.85,0,0,0
2021-07-26,56005,Campbell,Wyoming,12,6.14,13.26,0,0,0
2021-07-26,56003,Big Horn,Wyoming,6,2.57,21.81,0,0,0
2021-07-26,56001,Albany,Wyoming,15,3.57,9.19,0,0.14,0.37
2021-07-26,55141,Wood,Wisconsin,11,3.43,4.7,0,0,0
2021-07-26,55139,Winnebago,Wisconsin,7,8.71,5.07,0,0,0
2021-07-26,55137,Waushara,Wisconsin,3,0.57,2.34,0,0,0
2021-07-26,55135,Waupaca,Wisconsin,15,3.43,6.72,0,0,0
2021-07-26,55133,Waukesha,Wisconsin,45,33.57,8.31,2,0.57,0.14
2021-07-26,55131,Washington,Wisconsin,8,8.71,6.41,0,0.43,0.32
2021-07-26,55129,Washburn,Wisconsin,1,1,6.36,0,0,0
2021-07-26,55127,Walworth,Wisconsin,0,3.86,3.71,0,0,0
2021-07-26,55125,Vilas,Wisconsin,3,0.57,2.57,0,0,0
2021-07-26,55123,Vernon,Wisconsin,2,1.86,6.03,0,0,0
2021-07-26,55121,Trempealeau,Wisconsin,5,1.14,3.85,0,0,0
2021-07-26,55119,Taylor,Wisconsin,2,1.14,5.62,0,0,0
2021-07-26,55109,St. Croix,Wisconsin,11,4.29,4.73,0,0,0
2021-07-26,55117,Sheboygan,Wisconsin,8,4.43,3.84,0,0,0
2021-07-26,55115,Shawano,Wisconsin,1,4.43,10.83,0,0,0
2021-07-26,55113,Sawyer,Wisconsin,4,1.57,9.49,0,0,0
2021-07-26,55111,Sauk,Wisconsin,7,4.29,6.65,0,0,0
2021-07-26,55107,Rusk,Wisconsin,1,0.29,2.02,0,0,0
2021-07-26,55105,Rock,Wisconsin,20,10.14,6.21,0,0,0
2021-07-26,55103,Richland,Wisconsin,2,0.71,4.14,1,0.14,0.83
2021-07-26,55101,Racine,Wisconsin,22,16.43,8.37,1,0.29,0.15
2021-07-26,55099,Price,Wisconsin,0,0.71,5.35,0,0,0
2021-07-26,55097,Portage,Wisconsin,12,4,5.65,0,0,0
2021-07-26,55095,Polk,Wisconsin,6,1.14,2.61,0,0.14,0.33
2021-07-26,55093,Pierce,Wisconsin,5,2,4.68,0,0,0
2021-07-26,55091,Pepin,Wisconsin,5,1.57,21.56,0,0,0
2021-07-26,55089,Ozaukee,Wisconsin,6,5.71,6.4,0,0,0
2021-07-26,55087,Outagamie,Wisconsin,29,10.57,5.63,1,0.43,0.23
2021-07-26,55085,Oneida,Wisconsin,7,2.57,7.22,0,0.14,0.4
2021-07-26,55083,Oconto,Wisconsin,1,0.57,1.51,0,0.29,0.75
2021-07-26,55081,Monroe,Wisconsin,10,2,4.32,0,0.14,0.31
2021-07-26,55079,Milwaukee,Wisconsin,413,129.14,13.66,2,0.57,0.06
2021-07-26,55078,Menominee,Wisconsin,0,0,0,0,0,0
2021-07-26,55077,Marquette,Wisconsin,3,0.86,5.5,0,0,0
2021-07-26,55075,Marinette,Wisconsin,2,1.43,3.54,1,0.29,0.71
2021-07-26,55073,Marathon,Wisconsin,26,6.29,4.63,0,0.14,0.11
2021-07-26,55071,Manitowoc,Wisconsin,3,2.71,3.44,0,0,0
2021-07-26,55069,Lincoln,Wisconsin,1,0.5,1.81,0,0.14,0.52
2021-07-26,55067,Langlade,Wisconsin,0,0.14,0.74,0,0,0
2021-07-26,55065,Lafayette,Wisconsin,2,0.71,4.29,0,0,0
2021-07-26,55063,La Crosse,Wisconsin,12,4.43,3.75,0,0,0
2021-07-26,55061,Kewaunee,Wisconsin,0,0.86,4.19,0,0,0
2021-07-26,55059,Kenosha,Wisconsin,11,9.14,5.39,0,0.14,0.08
2021-07-26,55057,Juneau,Wisconsin,1,1.14,4.28,0,0,0
2021-07-26,55055,Jefferson,Wisconsin,4,3.57,4.21,0,0,0
2021-07-26,55053,Jackson,Wisconsin,2,1,4.84,0,0,0
2021-07-26,55051,Iron,Wisconsin,1,0.33,5.86,0,0.14,2.51
2021-07-26,55049,Iowa,Wisconsin,2,0.57,2.41,0,0,0
2021-07-26,55047,Green Lake,Wisconsin,0,0.86,4.53,1,0.14,0.76
2021-07-26,55045,Green,Wisconsin,2,2.43,6.57,0,0,0
2021-07-26,55043,Grant,Wisconsin,2,1.57,3.05,0,0,0
2021-07-26,55041,Forest,Wisconsin,4,1.29,14.28,0,0,0
2021-07-26,55039,Fond du Lac,Wisconsin,4,4.29,4.14,0,0.14,0.14
2021-07-26,55037,Florence,Wisconsin,0,0.29,6.65,0,0,0
2021-07-26,55035,Eau Claire,Wisconsin,12,4.71,4.5,1,0.14,0.14
2021-07-26,55033,Dunn,Wisconsin,2,2.57,5.67,0,0.29,0.63
2021-07-26,55031,Douglas,Wisconsin,4,1.86,4.3,-1,0.17,0.39
2021-07-26,55029,Door,Wisconsin,6,1.29,4.65,1,0.29,1.03
2021-07-26,55027,Dodge,Wisconsin,11,5.43,6.18,0,0,0
2021-07-26,55025,Dane,Wisconsin,119,35.71,6.53,0,0.14,0.03
2021-07-26,55023,Crawford,Wisconsin,3,0.86,5.31,0,0,0
2021-07-26,55021,Columbia,Wisconsin,10,3.14,5.46,0,0,0
2021-07-26,55019,Clark,Wisconsin,3,1.86,5.34,0,0.14,0.41
2021-07-26,55017,Chippewa,Wisconsin,2,1.57,2.43,0,0,0
2021-07-26,55015,Calumet,Wisconsin,6,3.71,7.42,0,0,0
2021-07-26,55013,Burnett,Wisconsin,3,0.86,5.56,0,0,0
2021-07-26,55011,Buffalo,Wisconsin,2,1.71,13.16,0,0,0
2021-07-26,55009,Brown,Wisconsin,10,8.86,3.35,2,0.43,0.16
