date,fips,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-12-12,56045,Weston,Wyoming,0,1.29,18.56,0,0,0
2020-12-12,56043,Washakie,Wyoming,9,15.57,199.51,0,0.43,5.49
2020-12-12,56041,Uinta,Wyoming,8,14.57,72.04,0,0.29,1.41
2020-12-12,56039,Teton,Wyoming,18,21,89.5,0,0,0
2020-12-12,56037,Sweetwater,Wyoming,8,40.86,96.49,0,0.57,1.35
2020-12-12,56035,Sublette,Wyoming,3,6.57,66.84,0,0.43,4.36
2020-12-12,56033,Sheridan,Wyoming,3,20,65.61,0,0.29,0.94
2020-12-12,56031,Platte,Wyoming,3,5.33,63.55,0,0,0
2020-12-12,56029,Park,Wyoming,5,21.57,73.89,0,0.14,0.49
2020-12-12,56027,Niobrara,Wyoming,1,1.29,54.57,0,0.14,6.06
2020-12-12,56025,Natrona,Wyoming,4,64.71,81.04,0,1,1.25
2020-12-12,56023,Lincoln,Wyoming,3,10.29,51.87,0,0.57,2.88
2020-12-12,56021,Laramie,Wyoming,14,87,87.44,0,1.86,1.87
2020-12-12,56019,Johnson,Wyoming,1,5.14,60.9,0,0,0
2020-12-12,56017,Hot Springs,Wyoming,2,3,67.98,0,0,0
2020-12-12,56015,Goshen,Wyoming,5,10,75.69,0,0.43,3.24
2020-12-12,56013,Fremont,Wyoming,6,26.86,68.41,0,1.86,4.73
2020-12-12,56011,Crook,Wyoming,4,3.71,48.98,0,0,0
2020-12-12,56009,Converse,Wyoming,0,5.86,42.38,0,0,0
2020-12-12,56007,Carbon,Wyoming,10,12.29,83.01,0,0.43,2.9
2020-12-12,56005,Campbell,Wyoming,6,25,53.95,0,0.43,0.92
2020-12-12,56003,Big Horn,Wyoming,4,7.86,66.64,0,0.29,2.42
2020-12-12,56001,Albany,Wyoming,5,15,38.58,0,0,0
2020-12-12,55141,Wood,Wisconsin,66,56,76.71,0,0.14,0.2
2020-12-12,55139,Winnebago,Wisconsin,107,102,59.33,0,2.71,1.58
2020-12-12,55137,Waushara,Wisconsin,12,7.57,30.98,1,0.43,1.75
2020-12-12,55135,Waupaca,Wisconsin,32,18.29,35.86,0,0.43,0.84
2020-12-12,55133,Waukesha,Wisconsin,281,297.71,73.66,6,7.86,1.94
2020-12-12,55131,Washington,Wisconsin,138,109.43,80.44,0,1.14,0.84
2020-12-12,55129,Washburn,Wisconsin,15,17.43,110.87,0,0.29,1.82
2020-12-12,55127,Walworth,Wisconsin,179,106.71,102.74,8,2.14,2.06
2020-12-12,55125,Vilas,Wisconsin,13,11.29,50.85,0,1.14,5.15
2020-12-12,55123,Vernon,Wisconsin,9,14.43,46.81,1,0.57,1.85
2020-12-12,55121,Trempealeau,Wisconsin,12,20.57,69.38,1,0.43,1.45
2020-12-12,55119,Taylor,Wisconsin,18,25.29,124.3,0,0.29,1.4
2020-12-12,55109,St. Croix,Wisconsin,76,87.14,96.09,0,0,0
2020-12-12,55117,Sheboygan,Wisconsin,202,97.57,84.59,0,1.71,1.49
2020-12-12,55115,Shawano,Wisconsin,25,24.71,60.43,0,0.57,1.4
2020-12-12,55113,Sawyer,Wisconsin,25,12.29,74.2,0,0,0
2020-12-12,55111,Sauk,Wisconsin,38,38.14,59.19,0,0.71,1.11
2020-12-12,55107,Rusk,Wisconsin,6,8.57,60.46,0,0.29,2.02
2020-12-12,55105,Rock,Wisconsin,212,120.57,73.81,1,0.57,0.35
2020-12-12,55103,Richland,Wisconsin,9,7.43,43.06,0,0,0
2020-12-12,55101,Racine,Wisconsin,234,140.43,71.53,7,3.43,1.75
2020-12-12,55099,Price,Wisconsin,7,10.14,75.97,0,0,0
2020-12-12,55097,Portage,Wisconsin,43,38.29,54.1,0,0.29,0.4
2020-12-12,55095,Polk,Wisconsin,19,38.86,88.75,0,0.29,0.65
2020-12-12,55093,Pierce,Wisconsin,47,48,112.27,0,0.43,1
2020-12-12,55091,Pepin,Wisconsin,8,9.29,127.43,0,0.43,5.88
2020-12-12,55089,Ozaukee,Wisconsin,65,62.43,69.97,0,0.57,0.64
2020-12-12,55087,Outagamie,Wisconsin,162,113.29,60.3,3,0.86,0.46
2020-12-12,55085,Oneida,Wisconsin,13,20.14,56.59,1,1.14,3.21
2020-12-12,55083,Oconto,Wisconsin,21,31.43,82.86,0,0.14,0.38
2020-12-12,55081,Monroe,Wisconsin,37,33.43,72.27,0,0.71,1.54
2020-12-12,55079,Milwaukee,Wisconsin,738,705.43,74.59,2,5.43,0.57
2020-12-12,55078,Menominee,Wisconsin,3,6.71,147.37,0,0,0
2020-12-12,55077,Marquette,Wisconsin,4,6.29,40.36,0,0.29,1.83
2020-12-12,55075,Marinette,Wisconsin,18,26.43,65.5,0,0.14,0.35
2020-12-12,55073,Marathon,Wisconsin,66,102.71,75.7,0,1.29,0.95
2020-12-12,55071,Manitowoc,Wisconsin,57,48.43,61.32,9,1.43,1.81
2020-12-12,55069,Lincoln,Wisconsin,32,18.14,65.75,0,0.14,0.52
2020-12-12,55067,Langlade,Wisconsin,15,10.29,53.6,0,0.29,1.49
2020-12-12,55065,Lafayette,Wisconsin,4,6.86,41.15,0,0.14,0.86
2020-12-12,55063,La Crosse,Wisconsin,72,67.71,57.38,1,0.57,0.48
2020-12-12,55061,Kewaunee,Wisconsin,30,16.71,81.8,1,0.29,1.4
2020-12-12,55059,Kenosha,Wisconsin,162,129.29,76.25,3,2.57,1.52
2020-12-12,55057,Juneau,Wisconsin,16,20,74.94,1,0.14,0.54
2020-12-12,55055,Jefferson,Wisconsin,39,53.43,63.03,0,0.71,0.84
2020-12-12,55053,Jackson,Wisconsin,32,17.29,83.74,0,0.14,0.69
2020-12-12,55051,Iron,Wisconsin,0,4.86,85.41,0,0.14,2.51
2020-12-12,55049,Iowa,Wisconsin,22,19.29,81.45,0,0,0
2020-12-12,55047,Green Lake,Wisconsin,16,10.29,54.38,0,0.29,1.51
2020-12-12,55045,Green,Wisconsin,36,21.71,58.75,0,0.43,1.16
2020-12-12,55043,Grant,Wisconsin,43,40.14,78.04,2,1,1.94
2020-12-12,55041,Forest,Wisconsin,5,4.43,49.18,0,0.14,1.59
2020-12-12,55039,Fond du Lac,Wisconsin,112,92.57,89.52,0,0.86,0.83
2020-12-12,55037,Florence,Wisconsin,3,3.43,79.83,0,0,0
2020-12-12,55035,Eau Claire,Wisconsin,94,52.86,50.51,0,0.71,0.68
