date,fips,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
7/26/2021,01035,30,Conecuh County,AL,27.4,3312,3312,31.7,3284,34.2,1520,53.7,91.8,4503,37.3,4503,43.1,4440,46.3,1988,70.2,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
7/26/2021,04013,30,Maricopa County,AZ,42,1884689,1884645,49.6,1789740,52.1,505877,72.6,97.5,2211653,49.3,2211429,58.2,2088282,60.8,592690,85.1,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
7/26/2021,39131,30,Pike County,OH,33.4,9278,9278,39.3,9017,42.4,3427,67.7,97.6,9621,34.6,9620,40.7,9310,43.7,3534,69.8,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
7/26/2021,54045,30,Logan County,WV,28.5,9131,9117,32.9,8715,34.3,3252,48.2,57.7,11629,36.3,11607,41.9,11039,43.4,3876,57.5,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
7/26/2021,72123,30,Salinas Municipio,PR,58.2,15781,15780,65.2,14815,66.5,4222,91.5,96,18304,67.5,18303,75.7,17121,76.9,4532,98.3,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
7/26/2021,47017,30,Carroll County,TN,33.2,9207,9207,38.6,9090,41.7,4274,74.6,97.8,10585,38.1,10585,44.4,10415,47.8,4722,82.4,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
7/26/2021,37035,30,Catawba County,NC,40.6,64725,64669,47.2,62104,49.8,23484,80.5,96.3,71777,45,71684,52.3,68371,54.9,24363,83.6,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
7/26/2021,16027,30,Canyon County,ID,29.7,68236,68236,36.3,68223,41.2,22996,71.4,97.7,75585,32.9,75584,40.2,75562,45.6,24490,76,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
7/26/2021,48281,30,Lampasas County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mod-High,,,,
7/26/2021,51115,30,Mathews County,VA,43.7,3863,3857,48.5,3770,50.6,1911,68.6,51.2,4180,47.3,4169,52.4,4063,54.5,1999,71.8,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,Mod-High VC/Low SVI
7/26/2021,48235,30,Irion County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,,,,
7/26/2021,47077,30,Henderson County,TN,29.5,8307,8307,34.6,8198,37.7,3582,67.2,97.8,9374,33.3,9373,39,9211,42.3,3903,73.3,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
7/26/2021,55091,30,Pepin County,WI,41.1,2996,2996,47.7,2856,49.5,1278,74.6,97,3141,43.1,3141,50,2992,51.9,1308,76.3,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
